p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.14E-10,0.783291105,0.577,0.432,3.08E-06,10,SH2D2A
2.15E-10,0.708827415,0.111,0.029,3.09E-06,10,RGS2
3.86E-10,1.028266338,0.397,0.247,5.54E-06,10,SPOCK2
1.99E-09,0.331582619,0.995,0.989,2.86E-05,10,MT-CYB
6.34E-09,0.633533175,0.153,0.054,9.11E-05,10,CXCR6
9.29E-09,0.815013631,0.233,0.102,0.000133496,10,RPS4Y1
2.05E-08,0.609655315,0.635,0.554,0.000294102,10,LAPTM5
3.16E-08,0.758214583,0.275,0.148,0.000454819,10,FYN
4.00E-08,0.952451598,0.46,0.33,0.000575534,10,CLEC2B
1.57E-07,0.843126511,0.212,0.101,0.002252971,10,LINC01871
2.25E-07,0.447023477,0.841,0.849,0.003235898,10,MT-ND4
2.94E-07,0.732313132,0.392,0.269,0.00422129,10,HCST
4.24E-07,0.922692584,0.407,0.286,0.006100285,10,CXCR4
4.93E-07,0.597024207,0.153,0.064,0.007079015,10,IFNGR1
1.15E-06,0.332479536,0.91,0.907,0.016486776,10,UBC
1.35E-06,0.837373288,0.243,0.135,0.019458142,10,AQP3
1.69E-06,0.630347185,0.238,0.129,0.024310359,10,TNFAIP3
2.25E-06,0.703490888,0.434,0.327,0.032379052,10,EML4
2.50E-06,0.681921688,0.571,0.516,0.035915237,10,RABAC1
6.36E-06,0.567832601,0.148,0.066,0.091353792,10,TC2N
8.43E-06,0.996321939,0.508,0.437,0.12113466,10,CD69
8.46E-06,0.826745161,0.196,0.103,0.121540673,10,PIK3R1
1.53E-05,0.320813649,0.915,0.92,0.219944798,10,RPL36AL
2.03E-05,0.610141224,0.243,0.14,0.291840757,10,HOPX
2.72E-05,0.625731553,0.153,0.072,0.390659508,10,CD8B
3.15E-05,0.438483033,0.635,0.592,0.453402962,10,CD99
3.61E-05,0.564393514,0.354,0.258,0.519235454,10,CD96
4.29E-05,0.816596955,0.386,0.294,0.616831596,10,APOBEC3G
4.74E-05,0.447498301,0.646,0.63,0.681362652,10,GABARAP
4.86E-05,0.296711635,0.931,0.962,0.698791439,10,MT-ATP6
5.22E-05,0.678973296,0.46,0.392,0.750154395,10,CDK2AP2
9.79E-05,0.31513647,0.915,0.919,1,10,MYL6
0.000111614,0.3054625,0.847,0.834,1,10,MT-ND5
0.000121573,0.644582883,0.397,0.318,1,10,KMT2E
0.00012977,0.588628107,0.381,0.298,1,10,DHRS7
0.000130184,0.352690943,0.926,0.935,1,10,SH3BGRL3
0.000134034,0.692613465,0.132,0.065,1,10,KLRK1
0.000156484,0.714862272,0.132,0.066,1,10,PBXIP1
0.000158755,0.505597897,0.148,0.077,1,10,TTC39C
0.000214096,0.279764199,0.878,0.857,1,10,IL2RG
0.000224495,0.442116288,0.148,0.077,1,10,EPB41
0.000227575,0.674301436,0.349,0.276,1,10,FKBP11
0.000249148,0.323265126,0.778,0.788,1,10,S100A6
0.00030284,0.59862035,0.243,0.163,1,10,GPR65
0.000351471,0.41692369,0.106,0.049,1,10,GPRIN3
0.00039574,0.548404569,0.312,0.235,1,10,LPXN
0.000475417,0.471750321,0.106,0.051,1,10,ABI3
0.000618626,0.471599244,0.608,0.519,1,10,S100A4
0.000699629,0.428438981,0.122,0.063,1,10,PARP8
0.000826586,0.502187385,0.328,0.258,1,10,CNN2
0.000918794,0.675720944,0.175,0.108,1,10,DUSP2
0.000996561,0.448338222,0.233,0.155,1,10,CASP1
0.001327263,0.547752196,0.28,0.21,1,10,MYH9
0.001461798,0.562877322,0.153,0.092,1,10,CDKN1B
0.00164214,0.358186349,0.598,0.554,1,10,ITM2B
0.001734905,0.537175283,0.159,0.095,1,10,ITM2C
0.001764284,0.517311047,0.159,0.096,1,10,LUZP1
0.001823564,0.304466539,0.709,0.695,1,10,PTPRC
0.001849101,1.040655803,0.169,0.104,1,10,TRBV20-1
0.001880199,0.500086764,0.238,0.169,1,10,GLIPR1
0.00197085,0.528359997,0.243,0.174,1,10,RBBP7
0.002200363,0.365093521,0.614,0.604,1,10,HSP90B1
0.002708002,0.369054684,0.492,0.443,1,10,TRBC2
0.004010347,0.641507417,0.201,0.142,1,10,GCHFR
0.004230268,0.452149805,0.423,0.386,1,10,SELENOK
0.004246941,0.534560999,0.349,0.285,1,10,ZFP36
0.004275798,0.323387401,0.857,0.873,1,10,MTRNR2L12
0.004537913,0.495179622,0.201,0.144,1,10,DPH3
0.004769087,0.549569543,0.45,0.404,1,10,CREM
0.004853027,0.452854868,0.212,0.148,1,10,IL4I1
0.005689811,0.577960958,0.228,0.169,1,10,GZMM
0.006725248,0.425154569,0.122,0.072,1,10,CD68
0.007353954,0.438399723,0.233,0.175,1,10,DNAJC3
0.008411702,0.435169869,0.19,0.133,1,10,ADGRE5
0.00947312,0.585879624,0.291,0.244,1,10,ZFP36L2
2.01E-09,0.780710314,0.226,0.052,2.89E-05,11,LPAR6
2.35E-09,0.943357086,0.952,0.864,3.37E-05,11,IL32
7.28E-07,0.954364852,0.484,0.248,0.010465697,11,CLDND1
8.77E-07,0.299719354,1,1,0.012611,11,B2M
1.23E-06,0.75842983,0.565,0.284,0.017666289,11,LGALS3
1.40E-06,0.487050773,1,0.991,0.020134279,11,TMSB4X
3.30E-06,0.600998398,0.919,0.814,0.047420064,11,MYL12A
8.41E-06,0.689190134,0.468,0.244,0.120918574,11,ARHGAP15
1.24E-05,0.559184536,0.79,0.552,0.177736407,11,ITM2B
1.31E-05,0.259869837,1,0.999,0.188809996,11,HLA-B
1.70E-05,0.493621347,0.113,0.025,0.244709703,11,EAF1
1.86E-05,0.690242355,0.597,0.348,0.266607521,11,GPR171
2.93E-05,0.746187879,0.645,0.432,0.420870695,11,ANXA2
3.22E-05,0.416329794,0.952,0.853,0.462532932,11,VIM
5.08E-05,0.582048157,0.871,0.787,0.729452352,11,S100A6
5.12E-05,0.655133965,0.306,0.136,0.735494563,11,CAPG
5.76E-05,0.53212523,0.952,0.894,0.827601203,11,IFITM1
9.49E-05,0.499312768,0.935,0.757,1,11,LTB
9.90E-05,0.67172415,0.548,0.345,1,11,XAF1
0.000129227,0.506682466,0.161,0.052,1,11,GBP3
0.000134329,0.533014374,0.177,0.061,1,11,SPATS2L
0.000145588,0.704957593,0.677,0.473,1,11,GBP1
0.000160231,0.692848942,0.71,0.541,1,11,KLF6
0.000162979,0.587608591,0.177,0.062,1,11,CCR6
0.000172093,0.555385297,0.677,0.42,1,11,PLAAT4
0.000175595,0.50658989,0.887,0.706,1,11,S100A11
0.000403814,0.51099498,0.21,0.084,1,11,LINC00623
0.000421993,0.468555554,0.726,0.542,1,11,IRF1
0.00043927,0.591933043,0.387,0.226,1,11,PPP1R11
0.000442535,0.970226895,0.484,0.324,1,11,LGALS1
0.000505393,0.653456049,0.339,0.181,1,11,BBX
0.000547452,0.515646317,0.145,0.05,1,11,HIST2H2AC
0.000585955,0.579088919,0.548,0.348,1,11,TNFSF10
0.000600599,0.688449049,0.242,0.112,1,11,PCGF5
0.000859849,0.615601502,0.242,0.116,1,11,HSPA1A
0.000924345,0.515707087,0.726,0.556,1,11,ANXA1
0.001151532,1.239125921,0.177,0.074,1,11,CD8B
0.001208714,0.443021475,0.839,0.74,1,11,PSMB9
0.001213034,0.544011815,0.306,0.162,1,11,SP140L
0.001241452,0.331659518,0.984,0.986,1,11,TMSB10
0.001469595,0.717127247,0.677,0.521,1,11,S100A4
0.001571658,0.458439909,0.113,0.037,1,11,TRAF3
0.001621625,0.697973959,0.629,0.454,1,11,IFI6
0.001745723,0.579561405,0.29,0.159,1,11,ARL4C
0.001763557,0.499680103,0.694,0.492,1,11,ALOX5AP
0.001961396,0.729888576,0.435,0.266,1,11,SAMD9
0.002014968,0.595786154,0.306,0.17,1,11,SAMHD1
0.002160385,0.530275086,0.21,0.099,1,11,ZRSR2
0.002326928,0.651446413,0.484,0.31,1,11,IFIT3
0.002536174,0.54359376,0.145,0.057,1,11,CRLF3
0.002694216,0.414132607,0.742,0.581,1,11,GSTK1
0.002713028,0.398388527,0.161,0.066,1,11,BISPR
0.002858573,0.637567234,0.661,0.572,1,11,IFITM2
0.002954975,0.342030227,0.935,0.845,1,11,CALM1
0.002958777,0.389571898,0.726,0.592,1,11,CD99
0.003204311,0.460892814,0.145,0.058,1,11,HOXB2
0.003426425,0.463746486,0.145,0.059,1,11,AK4
0.003770778,0.733943145,0.532,0.358,1,11,RNF213
0.004120629,0.317139586,0.113,0.04,1,11,ZBTB43
0.004548359,0.510924786,0.581,0.468,1,11,ARPC5
0.004747313,0.415069305,0.129,0.051,1,11,COTL1
0.004753653,0.265969505,0.129,0.049,1,11,AL138963.4
0.005224707,0.376669384,0.177,0.081,1,11,CARS
0.005420599,0.529288493,0.468,0.327,1,11,EPSTI1
0.005580497,0.45586742,0.468,0.308,1,11,OAS1
0.006354884,0.340616839,0.145,0.061,1,11,SC5D
0.00689885,0.348967317,0.194,0.094,1,11,C21orf91
